Model_Name,Accuracy,Precision,Recall,F1_Score,CM_TN,CM_FP,CM_FN,CM_TP,Training_Time_Sec,Trainable_Params
VanillaRNN,0.5602,0.5671,0.5457,0.5562,1423,1052,1147,1378,178.88,29569
VanillaLSTM,0.8526,0.8341,0.884,0.8583,2031,444,293,2232,157.44,117889
VanillaBidirectionalRNN,0.4894,0.4944,0.4859,0.4901,1220,1255,1298,1227,254,59137
VanillaBidirectionalLSTM,0.509,0.5103,0.6875,0.5858,809,1666,789,1736,582.9,235777
VanillaRNNWithBahdanauAttention,0.7902,0.7272,0.9354,0.8183,1589,886,163,2362,282.26,235777
VanillaRNNWithLuongDotProductAttention,0.5052,0.5051,1,0.6712,1,2474,0,2525,142.14,62593
VanillaRNNWithLuongGeneralAttention,0.611,0.639,0.5279,0.5782,1722,753,1192,1333,380.48,29697
VanillaRNNWithLuongConcatAttention,0.7798,0.9289,0.6107,0.7369,2357,118,983,1542,335.73,46081
VanillaBidirectionalRNNWithBahdanauAttention,0.779,0.7133,0.9402,0.8112,1521,954,151,2374,705.85,62593
VanillaBidirectionalRNNWithLuongDotProductAttention,0.612,0.5746,0.8923,0.699,807,1668,272,2253,609.17,125057
VanillaBidirectionalRNNWithLuongGeneralAttention,0.5588,0.5835,0.4416,0.5027,1679,796,1410,1115,585.15,59393
VanillaBidirectionalRNNWithLuongConcatAttention,0.8096,0.7523,0.9287,0.8313,1703,772,180,2345,1113.54,124929
VanillaLSTMWithBahdanauAttention,0.8586,0.8875,0.8246,0.8549,2211,264,443,2082,328.51,150913
VanillaLSTMWithLuongDotProductAttention,0.8652,0.8665,0.8665,0.8665,2138,337,337,2188,295.27,118017
VanillaLSTMWithLuongGeneralAttention,0.862,0.8517,0.88,0.8656,2088,387,303,2222,258.46,134401
VanillaLSTMWithLuongConcatAttention,0.8126,0.8449,0.7703,0.8059,2118,357,580,1945,389.13,150913
VanillaBidirectionalLSTMWithBahdanauAttention,0.8458,0.8265,0.8792,0.852,2009,466,305,2220,470.77,301697
VanillaBidirectionalLSTMWithLuongDotProductAttention,0.8646,0.8505,0.8879,0.8688,2081,394,283,2242,510.37,236033
VanillaBidirectionalLSTMWithLuongGeneralAttention,0.8566,0.8582,0.8578,0.858,2117,358,359,2166,684.42,301569
VanillaBidirectionalLSTMWithLuongConcatAttention,0.8596,0.9071,0.8044,0.8526,2267,208,494,2031,422.16,301697
